id,player_name,game_date,opponent_team,is_home,prop_type,actual_result,closing_line
1274,"Justin Champagnie",2026-01-11,PHX,0,ra,6.0,
1269,"Justin Champagnie",2026-01-11,PHX,0,rebounds,6.0,
1277,"Justin Champagnie",2026-01-09,NOP,1,assists,4.0,
1280,"Justin Champagnie",2026-01-09,NOP,1,pa,16.0,
1275,"Justin Champagnie",2026-01-09,NOP,1,points,12.0,
1279,"Justin Champagnie",2026-01-09,NOP,1,pr,21.0,
1278,"Justin Champagnie",2026-01-09,NOP,1,pra,25.0,
1281,"Justin Champagnie",2026-01-09,NOP,1,ra,13.0,
1276,"Justin Champagnie",2026-01-09,NOP,1,rebounds,9.0,
1284,"Justin Champagnie",2026-01-07,PHI,0,assists,2.0,
1287,"Justin Champagnie",2026-01-07,PHI,0,pa,8.0,
1282,"Justin Champagnie",2026-01-07,PHI,0,points,6.0,
1286,"Justin Champagnie",2026-01-07,PHI,0,pr,11.0,
1285,"Justin Champagnie",2026-01-07,PHI,0,pra,13.0,
1288,"Justin Champagnie",2026-01-07,PHI,0,ra,7.0,
1283,"Justin Champagnie",2026-01-07,PHI,0,rebounds,5.0,
1291,"Justin Champagnie",2026-01-06,ORL,1,assists,3.0,
1294,"Justin Champagnie",2026-01-06,ORL,1,pa,20.0,
1289,"Justin Champagnie",2026-01-06,ORL,1,points,17.0,
1293,"Justin Champagnie",2026-01-06,ORL,1,pr,20.0,
1292,"Justin Champagnie",2026-01-06,ORL,1,pra,23.0,
1295,"Justin Champagnie",2026-01-06,ORL,1,ra,6.0,
1290,"Justin Champagnie",2026-01-06,ORL,1,rebounds,3.0,
1298,"Justin Champagnie",2026-01-04,MIN,1,assists,0.0,
1301,"Justin Champagnie",2026-01-04,MIN,1,pa,6.0,
1296,"Justin Champagnie",2026-01-04,MIN,1,points,6.0,
1300,"Justin Champagnie",2026-01-04,MIN,1,pr,12.0,
1299,"Justin Champagnie",2026-01-04,MIN,1,pra,12.0,
1302,"Justin Champagnie",2026-01-04,MIN,1,ra,6.0,
1297,"Justin Champagnie",2026-01-04,MIN,1,rebounds,6.0,
1305,"Justin Champagnie",2026-01-02,BKN,1,assists,0.0,
1308,"Justin Champagnie",2026-01-02,BKN,1,pa,20.0,
1303,"Justin Champagnie",2026-01-02,BKN,1,points,20.0,
1307,"Justin Champagnie",2026-01-02,BKN,1,pr,27.0,
1306,"Justin Champagnie",2026-01-02,BKN,1,pra,27.0,
1309,"Justin Champagnie",2026-01-02,BKN,1,ra,7.0,
1304,"Justin Champagnie",2026-01-02,BKN,1,rebounds,7.0,
1312,"Justin Champagnie",2025-12-31,MIL,0,assists,2.0,
1315,"Justin Champagnie",2025-12-31,MIL,0,pa,14.0,
1310,"Justin Champagnie",2025-12-31,MIL,0,points,12.0,
1314,"Justin Champagnie",2025-12-31,MIL,0,pr,21.0,
1313,"Justin Champagnie",2025-12-31,MIL,0,pra,23.0,
1316,"Justin Champagnie",2025-12-31,MIL,0,ra,11.0,
1311,"Justin Champagnie",2025-12-31,MIL,0,rebounds,9.0,
1319,"Justin Champagnie",2025-12-29,PHX,1,assists,0.0,
1322,"Justin Champagnie",2025-12-29,PHX,1,pa,11.0,
1317,"Justin Champagnie",2025-12-29,PHX,1,points,11.0,
1321,"Justin Champagnie",2025-12-29,PHX,1,pr,17.0,
1320,"Justin Champagnie",2025-12-29,PHX,1,pra,17.0,
1323,"Justin Champagnie",2025-12-29,PHX,1,ra,6.0,
1318,"Justin Champagnie",2025-12-29,PHX,1,rebounds,6.0,
1326,"Justin Champagnie",2025-12-28,MEM,1,assists,0.0,
1329,"Justin Champagnie",2025-12-28,MEM,1,pa,10.0,
1324,"Justin Champagnie",2025-12-28,MEM,1,points,10.0,
1328,"Justin Champagnie",2025-12-28,MEM,1,pr,22.0,
1327,"Justin Champagnie",2025-12-28,MEM,1,pra,22.0,
1330,"Justin Champagnie",2025-12-28,MEM,1,ra,12.0,
1325,"Justin Champagnie",2025-12-28,MEM,1,rebounds,12.0,
1333,"Justin Champagnie",2025-12-26,TOR,1,assists,2.0,
1336,"Justin Champagnie",2025-12-26,TOR,1,pa,10.0,
1331,"Justin Champagnie",2025-12-26,TOR,1,points,8.0,
1335,"Justin Champagnie",2025-12-26,TOR,1,pr,15.0,
1334,"Justin Champagnie",2025-12-26,TOR,1,pra,17.0,
1337,"Justin Champagnie",2025-12-26,TOR,1,ra,9.0,
1332,"Justin Champagnie",2025-12-26,TOR,1,rebounds,7.0,
1340,"Justin Champagnie",2025-12-23,CHA,0,assists,0.0,
1343,"Justin Champagnie",2025-12-23,CHA,0,pa,10.0,
1338,"Justin Champagnie",2025-12-23,CHA,0,points,10.0,
1342,"Justin Champagnie",2025-12-23,CHA,0,pr,19.0,
1341,"Justin Champagnie",2025-12-23,CHA,0,pra,19.0,
1344,"Justin Champagnie",2025-12-23,CHA,0,ra,9.0,
1339,"Justin Champagnie",2025-12-23,CHA,0,rebounds,9.0,
1347,"Justin Champagnie",2025-12-21,SAS,1,assists,1.0,
1350,"Justin Champagnie",2025-12-21,SAS,1,pa,6.0,
1345,"Justin Champagnie",2025-12-21,SAS,1,points,5.0,
1349,"Justin Champagnie",2025-12-21,SAS,1,pr,8.0,
1348,"Justin Champagnie",2025-12-21,SAS,1,pra,9.0,
1351,"Justin Champagnie",2025-12-21,SAS,1,ra,4.0,
1346,"Justin Champagnie",2025-12-21,SAS,1,rebounds,3.0,
1354,"Justin Champagnie",2025-12-20,MEM,0,assists,4.0,
1357,"Justin Champagnie",2025-12-20,MEM,0,pa,8.0,
1352,"Justin Champagnie",2025-12-20,MEM,0,points,4.0,
1356,"Justin Champagnie",2025-12-20,MEM,0,pr,15.0,
1355,"Justin Champagnie",2025-12-20,MEM,0,pra,19.0,
1358,"Justin Champagnie",2025-12-20,MEM,0,ra,15.0,
1353,"Justin Champagnie",2025-12-20,MEM,0,rebounds,11.0,
1361,"Justin Champagnie",2025-12-18,SAS,0,assists,0.0,
1364,"Justin Champagnie",2025-12-18,SAS,0,pa,5.0,
1359,"Justin Champagnie",2025-12-18,SAS,0,points,5.0,
1363,"Justin Champagnie",2025-12-18,SAS,0,pr,14.0,
1362,"Justin Champagnie",2025-12-18,SAS,0,pra,14.0,
1365,"Justin Champagnie",2025-12-18,SAS,0,ra,9.0,
1360,"Justin Champagnie",2025-12-18,SAS,0,rebounds,9.0,
1368,"Justin Champagnie",2025-12-14,IND,0,assists,0.0,
1371,"Justin Champagnie",2025-12-14,IND,0,pa,13.0,
1366,"Justin Champagnie",2025-12-14,IND,0,points,13.0,
1370,"Justin Champagnie",2025-12-14,IND,0,pr,27.0,
1369,"Justin Champagnie",2025-12-14,IND,0,pra,27.0,
1372,"Justin Champagnie",2025-12-14,IND,0,ra,14.0,
1367,"Justin Champagnie",2025-12-14,IND,0,rebounds,14.0,
1375,"Justin Champagnie",2025-12-12,CLE,1,assists,1.0,
1378,"Justin Champagnie",2025-12-12,CLE,1,pa,4.0,
