id,player_name,game_date,opponent_team,prop_type,hit,is_home,is_b2b,games_experience,minutes_bucket,closing_line,season_avg,last_10_avg,last_5_avg,std_dev,games_played,minutes_avg,days_rest,line_vs_season,line_vs_recent,form_trend,line_difficulty,actual_result,split,parsed_date
5845,Alperen Sengun,2/4/26,BOS,ra,0,1,0,experienced,starter,15.5,15.7,16.3,18.2,,41,34.2,1,-0.1999999999999993,-0.8000000000000007,1.8999999999999986,,12,test,2026-02-04
5840,Alperen Sengun,2/4/26,BOS,rebounds,0,1,0,experienced,starter,9.5,9.4,10.6,12.4,3.6,41,34.2,1,0.09999999999999964,-1.0999999999999996,1.8000000000000007,0.02777777777777768,9,test,2026-02-04
5848,Alperen Sengun,2/2/26,IND,assists,0,0,0,experienced,starter,5.5,6.3,5.7,5.8,2.5,40,34.1,1,-0.7999999999999998,-0.20000000000000018,0.09999999999999964,-0.31999999999999995,5,test,2026-02-02
5851,Alperen Sengun,2/2/26,IND,pa,1,0,0,experienced,starter,29.5,27.3,24.3,24.4,,40,34.1,1,2.1999999999999993,5.199999999999999,0.09999999999999787,,44,test,2026-02-02
5846,Alperen Sengun,2/2/26,IND,points,1,0,0,experienced,starter,23.5,20.9,18.6,18.6,7.6,40,34.1,1,2.6000000000000014,4.899999999999999,0.0,0.3421052631578949,39,test,2026-02-02
5850,Alperen Sengun,2/2/26,IND,pr,1,0,0,experienced,starter,33.5,30.2,28.9,28.0,,40,34.1,1,3.3000000000000007,4.600000000000001,-0.8999999999999986,,55,test,2026-02-02
5849,Alperen Sengun,2/2/26,IND,pra,1,0,0,experienced,starter,5.5,36.5,34.6,33.8,,40,34.1,1,-31.0,-29.1,-0.8000000000000043,,60,test,2026-02-02
5852,Alperen Sengun,2/2/26,IND,ra,1,0,0,experienced,starter,16.5,15.6,16.0,15.2,,40,34.1,1,0.9000000000000004,0.5,-0.8000000000000007,,21,test,2026-02-02
5847,Alperen Sengun,2/2/26,IND,rebounds,1,0,0,experienced,starter,10.5,9.2,10.3,9.4,3.5,40,34.1,1,1.3000000000000007,0.1999999999999993,-0.9000000000000004,0.3714285714285716,16,test,2026-02-02
5855,Alperen Sengun,1/31/26,DAL,assists,1,1,0,experienced,starter,5.5,6.3,6.1,5.8,2.5,39,34.1,1,-0.7999999999999998,-0.5999999999999996,-0.2999999999999998,-0.31999999999999995,7,val,2026-01-31
5858,Alperen Sengun,1/31/26,DAL,pa,0,1,0,experienced,starter,26.5,27.5,25.6,24.2,,39,34.1,1,-1.0,0.8999999999999986,-1.4000000000000021,,21,val,2026-01-31
5853,Alperen Sengun,1/31/26,DAL,points,0,1,0,experienced,starter,20.5,21.1,19.5,18.4,7.6,39,34.1,1,-0.6000000000000014,1.0,-1.1000000000000014,-0.07894736842105282,14,val,2026-01-31
5857,Alperen Sengun,1/31/26,DAL,pr,0,1,0,experienced,starter,29.5,30.2,29.1,26.6,,39,34.1,1,-0.6999999999999993,0.3999999999999986,-2.5,,28,val,2026-01-31
5856,Alperen Sengun,1/31/26,DAL,pra,1,1,0,experienced,starter,5.5,36.6,35.2,32.4,,39,34.1,1,-31.1,-29.700000000000003,-2.8000000000000043,,35,val,2026-01-31
5859,Alperen Sengun,1/31/26,DAL,ra,1,1,0,experienced,starter,14.5,15.4,15.7,14.0,,39,34.1,1,-0.9000000000000004,-1.1999999999999993,-1.6999999999999993,,21,val,2026-01-31
5854,Alperen Sengun,1/31/26,DAL,rebounds,1,1,0,experienced,starter,8.5,9.1,9.6,8.2,3.5,39,34.1,1,-0.5999999999999996,-1.0999999999999996,-1.4000000000000004,-0.17142857142857132,14,val,2026-01-31
5862,Alperen Sengun,1/29/26,ATL,assists,0,0,1,experienced,starter,5.5,6.4,6.1,6.8,2.5,38,34.3,0,-0.9000000000000004,-0.5999999999999996,0.7000000000000002,-0.36000000000000015,4,val,2026-01-29
5865,Alperen Sengun,1/29/26,ATL,pa,0,0,1,experienced,starter,26.5,27.8,26.6,27.4,,38,34.3,0,-1.3000000000000007,-0.10000000000000142,0.7999999999999972,,13,val,2026-01-29
5860,Alperen Sengun,1/29/26,ATL,points,0,0,1,experienced,starter,20.5,21.4,20.5,20.6,7.4,38,34.3,0,-0.8999999999999986,0.0,0.10000000000000142,-0.12162162162162142,9,val,2026-01-29
5864,Alperen Sengun,1/29/26,ATL,pr,0,0,1,experienced,starter,30.5,30.4,29.7,28.8,,38,34.3,0,0.10000000000000142,0.8000000000000007,-0.8999999999999986,,22,val,2026-01-29
5863,Alperen Sengun,1/29/26,ATL,pra,1,0,1,experienced,starter,5.5,36.8,35.8,35.6,,38,34.3,0,-31.299999999999997,-30.299999999999997,-0.19999999999999574,,26,val,2026-01-29
5866,Alperen Sengun,1/29/26,ATL,ra,1,0,1,experienced,starter,15.5,15.4,15.3,15.0,,38,34.3,0,0.09999999999999964,0.1999999999999993,-0.3000000000000007,,17,val,2026-01-29
5861,Alperen Sengun,1/29/26,ATL,rebounds,1,0,1,experienced,starter,9.5,9.0,9.2,8.2,3.5,38,34.3,0,0.5,0.3000000000000007,-1.0,0.14285714285714285,13,val,2026-01-29
5869,Alperen Sengun,1/28/26,SAS,assists,1,1,0,experienced,starter,6.5,6.4,5.4,6.2,2.6,37,34.2,1,0.09999999999999964,1.0999999999999996,0.7999999999999998,0.038461538461538325,7,val,2026-01-28
5872,Alperen Sengun,1/28/26,SAS,pa,0,1,0,experienced,starter,25.5,27.9,24.1,27.4,,37,34.2,1,-2.3999999999999986,1.3999999999999986,3.299999999999997,,25,val,2026-01-28
5867,Alperen Sengun,1/28/26,SAS,points,0,1,0,experienced,starter,18.5,21.5,18.7,21.2,7.5,37,34.2,1,-3.0,-0.1999999999999993,2.5,-0.4,18,val,2026-01-28
5871,Alperen Sengun,1/28/26,SAS,pr,1,1,0,experienced,starter,27.5,30.5,27.0,29.0,,37,34.2,1,-3.0,0.5,2.0,,28,val,2026-01-28
5870,Alperen Sengun,1/28/26,SAS,pra,1,1,0,experienced,starter,6.5,36.9,32.4,35.2,,37,34.2,1,-30.4,-25.9,2.8000000000000043,,35,val,2026-01-28
5873,Alperen Sengun,1/28/26,SAS,ra,1,1,0,experienced,starter,15.5,15.4,13.7,14.0,,37,34.2,1,0.09999999999999964,1.8000000000000007,0.3000000000000007,,17,val,2026-01-28
5868,Alperen Sengun,1/28/26,SAS,rebounds,1,1,0,experienced,starter,8.5,9.0,8.3,7.8,3.5,37,34.2,1,-0.5,0.1999999999999993,-0.5000000000000009,-0.14285714285714285,10,val,2026-01-28
5876,Alperen Sengun,1/26/26,MEM,assists,0,1,0,experienced,starter,6.5,6.4,5.4,5.6,2.6,36,34.3,2,0.09999999999999964,1.0999999999999996,0.1999999999999993,0.038461538461538325,6,val,2026-01-26
5879,Alperen Sengun,1/26/26,MEM,pa,1,1,0,experienced,starter,25.5,27.6,22.8,25.2,,36,34.3,2,-2.1000000000000014,2.6999999999999993,2.3999999999999986,,39,val,2026-01-26
5874,Alperen Sengun,1/26/26,MEM,points,1,1,0,experienced,starter,19.5,21.2,17.4,19.6,7.4,36,34.3,2,-1.6999999999999993,2.1000000000000014,2.200000000000003,-0.22972972972972963,33,val,2026-01-26
