id,player_name,game_date,opponent_team,prop_type,split,hit,actual_result,closing_line,is_home,season_avg,last_10_avg,last_5_avg,std_dev,games_played,minutes_avg,days_rest,is_b2b,line_vs_season,line_vs_recent,line_vs_last_5,line_difficulty,consistency,avg_vs_opponent,games_vs_opponent,opp_def_rating,opp_pace
7951,De'Aaron Fox,2025-12-18,WAS,pa,train,0,9,26.5,1,30.1,30.3,28.0,,17,32.9,4,0,-3.6000000000000014,-3.8000000000000007,-1.5,0.0,20.0,3.0,1,119.0,100.0
7946,De'Aaron Fox,2025-12-18,WAS,points,train,0,6,21.5,1,23.9,24.4,22.4,6.1,17,32.9,4,0,-2.3999999999999986,-2.8999999999999986,-0.8999999999999986,-0.39344262295081944,3.918032786885246,6.0,2,119.0,100.0
7950,De'Aaron Fox,2025-12-18,WAS,pr,train,0,9,23.5,1,27.5,28.2,26.4,,17,32.9,4,0,-4.0,-4.699999999999999,-2.8999999999999986,0.0,20.0,6.0,3,119.0,100.0
7949,De'Aaron Fox,2025-12-18,WAS,pra,train,0,12,30.5,1,33.7,34.1,32.0,,17,32.9,4,0,-3.200000000000003,-3.6000000000000014,-1.5,0.0,20.0,6.75,4,119.0,100.0
7952,De'Aaron Fox,2025-12-18,WAS,ra,train,0,6,8.5,1,9.8,9.7,9.6,,17,32.9,4,0,-1.3000000000000007,-1.1999999999999993,-1.0999999999999996,0.0,9.8,7.8,5,119.0,100.0
7947,De'Aaron Fox,2025-12-18,WAS,rebounds,train,0,3,3.5,1,3.6,3.8,4.0,1.5,17,32.9,4,0,-0.10000000000000009,-0.2999999999999998,-0.5,-0.06666666666666672,2.4,7.5,6,119.0,100.0
7941,De'Aaron Fox,2025-12-19,ATL,assists,train,1,8,5.5,0,6.0,5.9,5.2,3.1,18,32.4,0,1,-0.5,-0.40000000000000036,0.2999999999999998,-0.16129032258064516,1.9354838709677418,22.857142857142858,7,115.0,100.5
7944,De'Aaron Fox,2025-12-19,ATL,pa,train,0,16,25.5,0,28.9,28.3,22.6,,18,32.4,0,1,-3.3999999999999986,-2.8000000000000007,2.8999999999999986,0.0,20.0,21.0,8,115.0,100.5
7939,De'Aaron Fox,2025-12-19,ATL,points,train,0,8,19.5,0,22.9,22.4,17.4,7.3,18,32.4,0,1,-3.3999999999999986,-2.8999999999999986,2.1000000000000014,-0.46575342465753405,3.136986301369863,20.444444444444443,9,115.0,100.5
7943,De'Aaron Fox,2025-12-19,ATL,pr,train,0,13,23.5,0,26.5,26.0,21.0,,18,32.4,0,1,-3.0,-2.5,2.5,0.0,20.0,19.2,10,115.0,100.5
7942,De'Aaron Fox,2025-12-19,ATL,pra,train,0,21,29.5,0,32.5,31.9,26.2,,18,32.4,0,1,-3.0,-2.3999999999999986,3.3000000000000007,0.0,20.0,18.636363636363637,11,115.0,100.5
7945,De'Aaron Fox,2025-12-19,ATL,ra,train,1,13,8.5,0,9.6,9.5,8.8,,18,32.4,0,1,-1.0999999999999996,-1.0,-0.3000000000000007,0.0,9.6,18.833333333333332,12,115.0,100.5
7940,De'Aaron Fox,2025-12-19,ATL,rebounds,train,1,5,3.5,0,3.6,3.6,3.6,1.5,18,32.4,0,1,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.06666666666666672,2.4,18.384615384615383,13,115.0,100.5
7934,De'Aaron Fox,2025-12-21,WAS,assists,train,1,6,5.5,0,6.1,5.9,5.0,3.0,19,31.9,1,0,-0.5999999999999996,-0.40000000000000036,0.5,-0.19999999999999987,2.033333333333333,6.857142857142857,7,119.0,100.0
7937,De'Aaron Fox,2025-12-21,WAS,pa,train,1,33,25.5,0,28.2,25.4,19.0,,19,31.9,1,0,-2.6999999999999993,0.10000000000000142,6.5,0.0,20.0,6.75,8,119.0,100.0
7932,De'Aaron Fox,2025-12-21,WAS,points,train,1,27,20.5,0,22.1,19.5,14.0,7.9,19,31.9,1,0,-1.6000000000000014,1.0,6.5,-0.20253164556962042,2.79746835443038,9.666666666666666,9,119.0,100.0
7936,De'Aaron Fox,2025-12-21,WAS,pr,train,1,34,23.5,0,25.8,23.0,17.6,,19,31.9,1,0,-2.3000000000000007,0.5,5.899999999999999,0.0,20.0,11.4,10,119.0,100.0
7935,De'Aaron Fox,2025-12-21,WAS,pra,train,1,40,28.5,0,31.9,28.9,22.6,,19,31.9,1,0,-3.3999999999999986,-0.3999999999999986,5.899999999999999,0.0,20.0,13.454545454545455,11,119.0,100.0
7938,De'Aaron Fox,2025-12-21,WAS,ra,train,1,13,9.5,0,9.8,9.4,8.6,,19,31.9,1,0,-0.3000000000000007,0.09999999999999964,0.9000000000000004,0.0,9.8,15.666666666666666,12,119.0,100.0
7933,De'Aaron Fox,2025-12-21,WAS,rebounds,train,1,7,3.5,0,3.7,3.5,3.6,1.5,19,31.9,1,0,-0.20000000000000018,0.0,-0.10000000000000009,-0.13333333333333344,2.466666666666667,15.461538461538462,13,119.0,100.0
7927,De'Aaron Fox,2025-12-23,OKC,assists,train,1,9,5.5,1,6.1,5.3,4.8,2.9,20,31.9,1,0,-0.5999999999999996,0.20000000000000018,0.7000000000000002,-0.20689655172413782,2.103448275862069,13.833333333333334,12,106.5,99.5
7930,De'Aaron Fox,2025-12-23,OKC,pa,train,0,15,24.5,1,28.5,26.0,21.4,,20,31.9,1,0,-4.0,-1.5,3.1000000000000014,0.0,20.0,14.5,10,106.5,99.5
7925,De'Aaron Fox,2025-12-23,OKC,points,train,0,6,18.5,1,22.4,20.7,16.6,7.7,20,31.9,1,0,-3.8999999999999986,-2.1999999999999993,1.8999999999999986,-0.5064935064935063,2.9090909090909087,14.545454545454545,11,106.5,99.5
7929,De'Aaron Fox,2025-12-23,OKC,pr,train,0,9,21.5,1,26.2,24.8,20.8,,20,31.9,1,0,-4.699999999999999,-3.3000000000000007,0.6999999999999993,0.0,20.0,13.461538461538462,13,106.5,99.5
7928,De'Aaron Fox,2025-12-23,OKC,pra,train,0,18,28.5,1,32.3,30.1,25.6,,20,31.9,1,0,-3.799999999999997,-1.6000000000000014,2.8999999999999986,0.0,20.0,14.11111111111111,9,106.5,99.5
7931,De'Aaron Fox,2025-12-23,OKC,ra,train,1,12,9.5,1,9.9,9.4,9.0,,20,31.9,1,0,-0.40000000000000036,0.09999999999999964,0.5,0.0,9.9,14.375,8,106.5,99.5
7926,De'Aaron Fox,2025-12-23,OKC,rebounds,train,0,3,3.5,1,3.9,4.1,4.2,1.6,20,31.9,1,0,-0.3999999999999999,-0.5999999999999996,-0.7000000000000002,-0.24999999999999994,2.4375,16.0,7,106.5,99.5
7920,De'Aaron Fox,2025-12-25,OKC,assists,train,0,3,4.5,0,6.2,5.8,6.0,2.9,21,32.0,1,0,-1.7000000000000002,-1.2999999999999998,-1.5,-0.5862068965517242,2.137931034482759,16.25,20,106.5,99.5
7923,De'Aaron Fox,2025-12-25,OKC,pa,train,1,32,22.5,0,27.8,24.6,19.8,,21,32.0,1,0,-5.300000000000001,-2.1000000000000014,2.6999999999999993,0.0,20.0,15.421052631578947,19,106.5,99.5
7918,De'Aaron Fox,2025-12-25,OKC,points,train,1,29,17.5,0,21.6,18.8,13.8,8.3,21,32.0,1,0,-4.100000000000001,-1.3000000000000007,3.6999999999999993,-0.493975903614458,2.602409638554217,14.666666666666666,18,106.5,99.5
7922,De'Aaron Fox,2025-12-25,OKC,pr,train,1,33,20.5,0,25.4,23.0,17.8,,21,32.0,1,0,-4.899999999999999,-2.5,2.6999999999999993,0.0,20.0,13.588235294117647,17,106.5,99.5
7921,De'Aaron Fox,2025-12-25,OKC,pra,train,1,36,26.5,0,31.6,28.8,23.8,,21,32.0,1,0,-5.100000000000001,-2.3000000000000007,2.6999999999999993,0.0,20.0,12.1875,16,106.5,99.5
7924,De'Aaron Fox,2025-12-25,OKC,ra,train,0,7,8.5,0,10.0,10.0,10.0,,21,32.0,1,0,-1.5,-1.5,-1.5,0.0,10.0,13.142857142857142,14,106.5,99.5
7919,De'Aaron Fox,2025-12-25,OKC,rebounds,train,1,4,3.5,0,3.8,4.2,4.0,1.6,21,32.0,1,0,-0.2999999999999998,-0.7000000000000002,-0.5,-0.1874999999999999,2.3749999999999996,12.733333333333333,15,106.5,99.5
7913,De'Aaron Fox,2025-12-29,CLE,assists,train,0,3,5.5,1,6.1,5.7,5.8,2.9,22,32.1,3,0,-0.5999999999999996,-0.20000000000000018,-0.2999999999999998,-0.20689655172413782,2.103448275862069,22.285714285714285,7,107.5,98.5
7916,De'Aaron Fox,2025-12-29,CLE,pa,train,0,17,25.5,1,28.0,24.5,21.0,,22,32.1,3,0,-2.5,1.0,4.5,0.0,20.0,19.875,8,107.5,98.5
7911,De'Aaron Fox,2025-12-29,CLE,points,train,0,14,19.5,1,21.9,18.8,15.2,8.3,22,32.1,3,0,-2.3999999999999986,0.6999999999999993,4.300000000000001,-0.2891566265060239,2.6385542168674694,19.555555555555557,9,107.5,98.5
7915,De'Aaron Fox,2025-12-29,CLE,pr,train,0,16,23.5,1,25.7,23.0,19.6,,22,32.1,3,0,-2.1999999999999993,0.5,3.8999999999999986,0.0,20.0,19.0,10,107.5,98.5
7914,De'Aaron Fox,2025-12-29,CLE,pra,train,0,19,28.5,1,31.8,28.7,25.4,,22,32.1,3,0,-3.3000000000000007,-0.1999999999999993,3.1000000000000014,0.0,20.0,18.727272727272727,11,107.5,98.5
7917,De'Aaron Fox,2025-12-29,CLE,ra,train,0,5,9.5,1,9.9,9.9,10.2,,22,32.1,3,0,-0.40000000000000036,-0.40000000000000036,-0.6999999999999993,0.0,9.9,18.75,12,107.5,98.5
7912,De'Aaron Fox,2025-12-29,CLE,rebounds,train,0,2,3.5,1,3.8,4.2,4.4,1.6,22,32.1,3,0,-0.2999999999999998,-0.7000000000000002,-0.9000000000000004,-0.1874999999999999,2.3749999999999996,17.692307692307693,13,107.5,98.5
7906,De'Aaron Fox,2025-12-31,NYK,assists,train,1,7,5.5,1,6.0,5.5,5.8,2.9,23,32.1,1,0,-0.5,0.0,-0.2999999999999998,-0.1724137931034483,2.0689655172413794,6.0,0,109.0,99.0
7909,De'Aaron Fox,2025-12-31,NYK,pa,train,1,33,26.5,1,27.5,22.6,22.6,,23,32.1,1,0,-1.0,3.8999999999999986,3.8999999999999986,0.0,20.0,7.0,1,109.0,99.0
7904,De'Aaron Fox,2025-12-31,NYK,points,train,1,26,19.5,1,21.6,17.1,16.8,8.3,23,32.1,1,0,-2.1000000000000014,2.3999999999999986,2.6999999999999993,-0.25301204819277123,2.602409638554217,20.0,2,109.0,99.0
7908,De'Aaron Fox,2025-12-31,NYK,pr,train,1,27,23.5,1,25.3,21.0,21.0,,23,32.1,1,0,-1.8000000000000007,2.5,2.5,0.0,20.0,22.0,3,109.0,99.0
7907,De'Aaron Fox,2025-12-31,NYK,pra,train,1,34,29.5,1,31.3,26.5,26.8,,23,32.1,1,0,-1.8000000000000007,3.0,2.6999999999999993,0.0,20.0,23.25,4,109.0,99.0
7910,De'Aaron Fox,2025-12-31,NYK,ra,train,0,8,9.5,1,9.7,9.4,10.0,,23,32.1,1,0,-0.1999999999999993,0.09999999999999964,-0.5,0.0,9.7,25.4,5,109.0,99.0
7905,De'Aaron Fox,2025-12-31,NYK,rebounds,train,0,1,3.5,1,3.7,3.9,4.2,1.6,23,32.1,1,0,-0.20000000000000018,-0.3999999999999999,-0.7000000000000002,-0.1250000000000001,2.3125,22.5,6,109.0,99.0
7899,De'Aaron Fox,2026-01-02,IND,assists,train,0,4,6.5,0,6.0,5.3,5.6,2.9,24,32.3,1,0,0.5,1.2000000000000002,0.9000000000000004,0.1724137931034483,2.0689655172413794,6.0,0,116.0,102.5
7902,De'Aaron Fox,2026-01-02,IND,pa,train,0,28,30.5,0,27.8,22.5,26.0,,24,32.3,1,0,2.6999999999999993,8.0,4.5,0.0,20.0,4.0,1,116.0,102.5
7897,De'Aaron Fox,2026-01-02,IND,points,train,1,24,23.5,0,21.8,17.2,20.4,8.1,24,32.3,1,0,1.6999999999999993,6.300000000000001,3.1000000000000014,0.20987654320987648,2.6913580246913584,16.0,2,116.0,102.5
7901,De'Aaron Fox,2026-01-02,IND,pr,train,1,31,28.5,0,25.4,20.7,23.8,,24,32.3,1,0,3.1000000000000014,7.800000000000001,4.699999999999999,0.0,20.0,18.666666666666668,3,116.0,102.5
7900,De'Aaron Fox,2026-01-02,IND,pra,train,1,35,34.5,0,31.4,26.0,29.4,,24,32.3,1,0,3.1000000000000014,8.5,5.100000000000001,0.0,20.0,21.75,4,116.0,102.5
7903,De'Aaron Fox,2026-01-02,IND,ra,train,1,11,10.5,0,9.6,8.8,9.0,,24,32.3,1,0,0.9000000000000004,1.6999999999999993,1.5,0.0,9.6,24.4,5,116.0,102.5
